nama,id_siswa,kelas,Pendidikan Agama,Pendidikan Pancasila,Bahasa Inggris,Bahasa Mandarin,Matematika (Umum),Biologi,Fisika,Kimia,Geografi,Sejarah,Sosiologi,Ekonomi,"Pendidikan Jasmani, Olahraga, dan Kesehatan",Informatika,Seni Musik,Bahasa Indonesia,Rata-rata,Pendidikan Agama (S2),Pendidikan Pancasila (S2),Bahasa Inggris (S2),Bahasa Mandarin (S2),Matematika (Umum) (S2),Biologi (S2),Fisika (S2),Kimia (S2),Geografi (S2),Sejarah (S2),Sosiologi (S2),Ekonomi (S2),"Pendidikan Jasmani, Olahraga, dan Kesehatan (S2)",Informatika (S2),Seni Musik (S2),Bahasa Indonesia (S2),Rata-rata (S2)
Joko Maulana,74828,10B,71.81960212,81.51379576,81.52931815,80.09060547,73.1974525,79.41733606,72.25431419,76.90577884,83.31666062,82.15310475,78.24550982,73.29556223,81.39753367,78.2665013,66.56801712,82.08274424,77.6283648,73,79,78,87,85,86,78,89,90,87,85,82,88,81,73,84,82.81
Zaenal Setyawan,24272,10B,64.7531229,70.88654331,59.39793447,48.990768,66.26970636,66.33210545,56.42092893,59.98178934,78.65037579,63.346234,68.52908195,61.62098793,54.42277257,64.02299583,63.54626427,62.87489587,63.12790668,65,82,62,55,72,68,58,69,86,68,73,68,61,74,68,70,68.69
Cahya Yuliana,47878,10B,75.3590674,77.25361293,75.18168682,69.61224073,78.36319553,66.1854128,65.68048429,79.62817405,78.46737293,75.64529475,68.95502905,72.39271687,74.61853784,67.95280173,72.23712828,79.19392326,73.54541745,80,87,85,76,90,73,76,81,80,89,72,81,78,75,77,87,80.44
Cahya Wibisono,40774,10B,78.8275945,69.59389391,75.47350945,62.12076732,74.98832388,67.6713256,73.22779576,70.45230558,78.29313773,67.31888943,74.82909916,70.29353036,70.89954029,70.77179821,67.46270215,71.62057285,71.49029914,93,71,81,68,88,69,82,70,84,75,84,70,68,75,70,71,76.19
Dodi Anindita,24176,10B,78.94892556,80.46836792,79.6846924,83.25213942,83.87970975,74.00905006,83.60602918,73.33048454,82.20144611,82.3608606,69.70558222,79.72706291,76.91968611,75.46834038,86.01642833,75.99377097,79.09828603,77,80,81,92,91,82,90,82,82,93,79,83,86,85,91,83,84.81
Xenia Permata,76027,10B,67.00551166,71.41587101,74.46534504,70.32915338,76.86924904,73.69227462,60.14633971,68.39006149,68.22818581,73.43420107,57.91331103,83.78244485,73.69252678,71.78178033,76.94523489,82.75566657,71.92794733,70,72,78,72,77,73,58,66,71,75,62,82,77,71,79,87,73.12
Vero Hapsari,73627,10B,78.78005102,79.17038328,75.07976791,73.71868903,72.04734057,70.29575783,70.99124729,67.67353797,74.04696054,66.00297991,75.38090041,74.24466475,75.16099428,71.81565994,89.81061964,81.22689729,74.71540323,79,77,78,72,73,69,74,67,76,63,73,76,79,73,97,84,75.62
Xenia Iskandar,34572,10B,71.30222389,78.68927683,74.48490568,72.45253776,70.82457604,79.68601985,74.11803522,82.36406652,82.49384747,84.39450832,73.26300256,79.90176445,80.68720748,75.15404552,73.66607661,85.57253972,77.44091462,69,76,70,75,72,77,77,83,84,87,74,77,84,77,76,82,77.5
Kartika Kartini,58010,10B,80.46625535,82.50861472,75.21839591,73.23235364,76.4815271,78.70866903,74.00767594,79.27955193,70.88625003,73.72853886,82.68333221,82.34772857,77.36939214,74.23995443,74.19175821,77.46243474,77.05077705,74,84,76,74,76,77,76,76,74,72,77,83,74,71,76,80,76.25
Gita Prasetyo,54375,10B,72.22111042,73.63974642,66.51585929,63.23105583,70.33773615,64.88084311,66.40725477,75.62489842,73.13409511,69.78838953,62.63892296,70.0555008,74.31180442,67.12034964,75.75408841,75.46224441,70.07024373,72,75,67,64,69,67,61,74,71,66,57,71,76,68,79,79,69.75
Koko Kusumawardani,12379,10B,81.64615798,74.85370945,76.26445232,80.39843026,75.56446351,70.82132328,71.08477964,74.52026859,66.87468671,72.61119924,78.81022941,62.37122456,80.99990433,78.93936491,71.02867074,76.04444796,74.55208206,85,81,86,87,78,71,70,76,74,81,82,72,88,94,69,80,79.62
Cahya Susilo,91149,10B,72.64101208,78.77522529,77.53868916,65.62491983,75.56158551,71.59713418,73.0394363,68.98441394,81.36595879,77.82558254,68.92641762,65.95222041,70.69691029,74.79778667,73.82630266,78.89093757,73.5027833,78,92,82,85,87,77,80,74,89,81,82,68,77,81,78,79,80.62
Joko Permata,51924,10B,75.68295245,76.58119897,73.36763084,64.78686019,70.75486118,77.03380254,71.47573919,74.24880568,70.13961226,66.58429459,71.11663352,73.27859105,68.45491524,70.55479761,67.03603763,77.32957842,71.77664446,72,73,78,70,76,82,70,69,75,69,74,70,69,71,67,75,72.5
Cahya Budiman,15062,10B,82.35499241,91.09104893,91.47101045,83.42204138,78.78502754,73.39778181,76.46708584,76.95809708,90.71961934,84.40639414,85.77529382,72.72516616,77.83743906,88.26267008,85.26114176,83.09124481,82.62662841,84,94,92,85,84,76,77,77,88,82,85,72,83,89,86,87,83.81
Eko Ramadhan,23077,10B,79.84912035,85.20389759,75.91969624,77.37175757,77.98789315,88.98545673,66.52812723,80.44102363,76.45089731,79.85876719,73.73804578,76.7800834,80.58196145,92.58945956,81.0650895,72.78458056,79.13349108,70,69,68,69,70,81,63,82,63,69,67,68,72,79,72,64,70.38
Irsyad Anwar,73424,10B,66.57678182,66.42850969,59.71736437,67.04512927,72.35972564,62.32441963,73.93799348,71.13445433,65.02441362,67.98793204,76.68718927,72.3633193,68.7394985,67.50716364,69.07862558,66.13676244,68.31558016,67,69,61,64,71,63,73,69,59,66,77,75,69,71,69,64,67.94
Rizky Widodo,28886,10B,69.06556221,89.80019929,80.36593473,81.58004606,79.29977099,75.91372573,78.65968733,71.59233592,90.97474223,73.41674974,74.42947832,77.38801371,86.02968836,79.66185473,73.40863076,85.86100154,79.21546385,71,89,79,81,79,72,83,70,89,72,77,77,90,79,69,83,78.75
Pandu Putranto,81181,10B,89.26578412,88.30295577,89.18945219,97.58259049,96.53625546,82.17720427,93.73020595,87.52662193,88.10626007,77.14942683,84.75885216,81.54666303,89.75107506,90.96618349,75.23834923,85.50060667,87.33303042,90,87,89,100,96,78,95,88,85,78,83,82,94,91,77,83,87.25
Kartika Setyawan,39954,10B,85.77163383,79.22893149,83.80764453,81.91815364,81.87062746,78.80575141,74.07942228,74.55467557,83.70908888,80.25961758,79.46976508,78.04287609,78.63638208,85.39688528,78.48610589,73.45700274,79.84341024,88,82,83,83,83,78,75,78,88,82,79,81,76,84,82,79,81.31
Vero Sukmana,18388,10B,71.12140905,66.37876685,67.5601295,75.4410417,67.30034738,68.84906854,61.50853271,66.30480291,70.4507804,59.6262815,68.40737564,67.90710553,67.60958745,72.58894466,69.07534274,74.79350966,68.43268914,73,68,76,82,68,80,74,64,80,64,70,67,71,76,75,88,73.5
Cinta Santosa,71511,10B,67.61088206,73.25845247,73.00116357,67.23255717,77.36030465,84.20219616,72.49379926,75.10393508,73.00142201,69.01090629,63.47502825,69.04996222,65.61903773,81.09934003,72.00328117,70.84923299,72.14821882,67,66,78,69,78,82,69,75,74,68,65,75,62,82,77,70,72.31
Zulfa Fitriani,48383,10B,85.78032487,75.72580023,77.50023556,81.67491709,86.4784007,83.84298097,82.57618146,81.72514442,83.33573502,82.34282027,76.18469437,81.56495185,75.96611245,81.73996846,78.93131604,94.03146386,81.83756548,89,80,80,84,84,86,89,80,80,83,79,82,81,79,74,98,83
Jaya Calvin,77861,10B,71.26218075,64.44045484,70.79075162,74.0584464,79.8284724,68.51439067,63.5495128,75.54583773,64.55865914,69.28087546,70.17355024,71.11348541,74.90747496,68.04348126,70.09300641,71.39030091,70.47193006,72,66,72,73,83,67,65,77,61,74,70,68,75,65,68,70,70.38
Cinta Megawati,99012,10B,77.96708693,77.70823301,79.39912602,81.43829469,79.18226772,79.48702476,69.30798131,77.47023564,79.61663488,80.86380311,73.75734327,73.92390077,74.34859376,79.90116664,82.38850242,75.1817966,77.62137447,89,85,86,84,77,88,67,81,88,82,77,73,76,82,86,81,81.38
Tyo Mardhiah,20897,10B,83.41298184,79.49056931,78.25174138,77.81624912,82.60622709,80.50105935,90.25229741,74.61204705,81.46367878,76.22716522,74.52673533,78.81883458,79.55993266,93.46403804,77.95244119,73.22227662,80.13614219,82,78,82,70,79,81,90,70,80,79,71,82,77,88,80,74,78.94
Endang Pangestu,40061,10B,71.73040123,59.99214745,69.90556373,70.44547405,74.33834956,75.23345889,67.84749955,69.61227757,66.53474349,64.72503487,71.91482154,63.9974199,68.29221314,65.38947784,73.11376357,79.37249814,69.52782153,80,58,78,80,89,77,71,75,71,73,79,68,73,74,73,83,75.12
Qomariyah Mardhiah,97612,10B,68.19443331,65.43728081,74.07793879,74.7808622,75.79566975,72.47077064,73.69917673,76.53992527,79.90452768,64.92712937,72.85767602,75.77141719,70.1124927,83.35822138,71.52532382,74.49590978,73.37179722,77,73,74,77,81,77,80,82,88,70,78,75,73,86,75,78,77.75
Firman Nainggolan,89136,10B,61.57377378,55.83723936,49.56079806,56.65039067,63.94086608,57.10918767,54.56149179,63.42202435,57.13978882,56.24285923,59.54094375,62.64741435,70.70223096,62.92984384,64.59286313,56.2638323,59.54472176,59,60,50,56,63,59,53,68,61,56,60,60,69,60,64,56,59.62
Hesti Utami,20892,10B,64.74872126,70.18971854,70.41391137,64.48549809,69.00158914,71.8746498,71.68002877,72.39950106,71.33288544,67.3430185,67.30855866,63.8833048,78.80193699,69.94531362,68.75379651,65.23410139,69.21228337,88,91,94,85,79,89,90,81,80,86,86,91,93,77,83,84,86.06
Malik Agustina,65335,10B,88.41544875,68.37051908,71.59291962,75.81634342,76.73822407,78.52681952,82.77520178,76.26794752,68.45700524,72.45243362,75.27632111,84.07828945,66.74813185,79.75004177,74.63673109,77.92631192,76.11429311,91,69,69,77,78,73,84,75,66,75,75,84,67,80,74,82,76.19
Ranti Hakim,81408,10B,68.25111051,64.54892094,72.51544799,72.03323923,73.62136892,68.69456091,65.76197397,60.96714912,72.85795043,70.8805315,63.93217093,66.06821572,66.42729003,61.34616193,64.67267211,63.09193231,67.22941853,73,62,71,73,77,68,67,60,66,71,60,70,70,59,62,61,66.88
Citra Kurniawan,23923,10B,81.09966146,79.46856903,75.02703192,93.27500767,89.42476017,79.26695941,84.5241635,85.24938197,89.11748579,79.06903139,88.62259044,80.42253,76.4827445,86.78273932,89.61584864,96.10160139,84.59688166,79,78,75,92,89,75,78,86,90,80,90,79,75,85,84,98,83.31
Gina Abidin,88921,10B,61.85066678,71.34389154,65.80028689,71.76608666,60.49684535,61.53544423,63.96991899,68.24411334,64.64388678,71.14456483,72.9837662,70.84718082,75.94323131,69.92842626,61.76480956,74.66617568,67.93308095,65,71,69,81,65,69,70,73,76,72,74,72,82,75,70,79,72.69
Endang Mulyani,78995,10B,69.77399639,77.35187006,80.66844865,75.08321762,65.3189835,68.20871673,79.4134999,71.95416414,73.19764524,76.59389965,76.28139188,74.19377663,71.75643571,71.23643534,77.08927169,75.56762522,73.98058615,73,81,85,78,61,65,82,74,76,77,72,74,74,70,77,76,74.69
Rizky Mardhiah,61185,10B,74.36720288,81.06426445,75.00853231,71.39539201,71.85884939,70.7599987,74.2916528,81.82232428,71.62822698,76.59608169,72.37025616,74.35215768,68.10349683,74.55101174,74.68517599,78.35514261,74.45061041,76,79,73,67,69,72,77,82,70,77,70,75,70,73,72,77,73.69
Malik Iskandar,73399,10B,83.32277101,76.21440582,87.62735767,83.25788165,83.19833403,82.16045468,79.61757921,83.29537814,84.58430862,73.47188799,79.51256226,80.93163159,83.48721947,88.17292147,78.34766237,79.71655721,81.68243208,86,75,88,83,82,82,78,80,85,72,76,83,83,85,78,79,80.94
Rudi Pradipta,36493,10B,65.25801869,63.81305129,66.08475677,71.67470034,62.55151177,69.95976122,59.31117809,65.01399926,66.17324274,76.19498761,66.44667772,56.81447188,57.82624471,67.99083718,70.88954352,69.69796853,65.98130946,72,60,70,73,63,73,68,71,73,79,73,61,67,76,77,71,70.44
Anisa Handayani,65292,10B,81.65366929,86.62711675,78.11786266,85.29037154,72.65574434,76.2910796,71.78061179,79.44159226,80.58451267,81.38632622,81.12523553,76.17805211,79.86461454,73.32858542,87.63196364,79.2976884,79.45343917,84,89,75,83,69,78,64,80,78,78,75,74,84,71,89,76,77.94
Vina Widodo,64552,10B,72.60673471,82.99586695,68.83993264,69.42322973,69.57006368,74.7118084,77.20932345,78.74954265,87.91114189,63.80400303,78.09484325,72.26551244,72.11908956,71.95230466,70.50731695,83.47378948,74.63965647,70,88,70,64,65,74,76,81,91,62,78,69,72,69,71,82,73.88
Fanny Widiastuti,81254,10B,74.30394338,70.20843664,76.84753551,62.52981192,63.43893109,59.20261808,66.59538404,70.90094938,70.60674963,70.8391663,63.03717259,74.10823046,71.29059434,73.75772815,60.62864586,71.64991104,68.74661303,82,75,81,66,67,63,69,75,73,77,68,76,76,81,57,79,72.81
Budi Hardianto,98229,10B,71.37169117,75.32390111,79.98234186,77.7659854,73.05281747,77.34188315,69.6528408,83.06185435,76.28409727,82.90326709,74.67785894,74.69263743,73.48958344,81.69138703,73.76336158,80.53349453,76.59931266,82,89,86,86,85,78,76,95,85,87,81,87,79,83,81,82,83.88
Hendra Handayani,57032,10B,74.08303649,66.11548198,73.14372814,70.09975741,76.1648121,70.0432598,80.62517398,75.53991918,75.1073185,79.27475917,80.81483315,75.89480472,72.13929698,67.1254504,72.56504969,72.90923724,73.85286993,77,65,72,72,78,70,75,76,80,81,78,72,75,66,77,77,74.44
Nadia Lestari,91958,10B,72.53420288,70.27318121,75.43858047,68.93399926,71.71370978,77.91885283,73.70804168,71.69872791,68.9891934,68.83275863,67.74584935,69.29388129,75.77724481,70.88947426,65.25005027,80.83976208,71.86484438,76,73,81,75,79,82,84,73,73,73,67,76,81,75,72,85,76.56
Cakra Putri,71688,10B,76.94883638,68.31429342,73.13976579,75.90344234,83.87197089,69.80844813,80.22921402,82.34644256,72.2057389,73.96144233,70.16746419,74.33170472,75.16606055,78.64726042,80.79992778,71.6085301,75.46565891,87,72,82,76,89,74,79,89,74,80,71,73,77,88,85,77,79.56
Nanda Nurhadi,71655,10B,63.23680669,72.96720812,74.54111967,74.32052045,71.44006578,73.69719251,80.65065606,74.98210286,71.20658989,70.57244293,72.22417023,81.25713182,72.15692847,72.97446029,70.66186416,78.5683488,73.46610055,64,75,73,73,75,76,79,69,72,72,69,79,71,74,78,82,73.81
Vina Lestari,96322,10B,85.366773,77.82065197,75.98145125,75.75150089,63.64605278,79.29334105,76.23841881,77.70929698,72.01027576,73.64530233,73.51246204,80.67570165,73.67378754,85.98088834,77.72189882,69.18917343,76.13856104,84,80,76,73,57,80,74,79,68,75,78,80,68,86,76,66,75
Naila Indahsari,36083,10B,77.66792191,75.05227776,67.33874102,86.30800807,81.82636608,80.97668996,79.13767167,71.40056553,75.89256767,82.51955725,73.05455322,65.65180679,77.17512333,77.6018656,78.98847045,81.95324659,77.03408956,73,80,65,87,85,86,81,70,75,84,74,64,69,75,78,82,76.75
Eva Sugianto,84439,10B,86.11811314,84.22393311,88.90774102,75.33523518,85.45299315,86.0627759,76.73227265,75.41573104,79.20037345,79.62237687,86.6971814,79.85739016,78.64834149,79.8719154,88.52324575,82.99530095,82.10405754,93,89,98,80,96,93,82,83,85,90,95,85,71,88,95,98,88.81
Kiki Hariyadi,87445,10B,67.91466738,68.26089501,75.27122418,65.06506387,75.38846396,69.863404,68.0088256,81.315425,63.53272506,67.04249371,62.64876631,73.57323236,77.25686717,77.16053641,74.93066627,67.82282017,70.94100478,67,70,76,60,72,67,69,82,68,67,63,70,77,84,76,66,70.88
Endang Anindita,72924,10B,83.83896199,77.30931801,95.84453455,88.01005726,83.20538235,92.30545132,80.80134429,87.69827704,84.8020212,88.85855257,85.34729918,78.41052742,86.04304874,90.90948758,85.51908484,89.54074248,86.15275568,85,76,98,86,82,94,80,87,84,87,86,79,86,90,85,93,86.12
Dewi Prasetya,20112,10B,60.01191357,65.10825704,62.11700873,68.9744652,65.39701881,68.68992938,70.67811313,68.69765388,66.60515317,60.24849971,65.22563045,62.57410899,63.51924122,63.36689025,60.33993313,55.45286806,64.1879178,62,74,60,69,72,76,69,76,72,67,71,69,70,70,66,60,68.94
Irsyad Firdaus,19215,10B,70.90035928,75.20797178,67.5001893,74.31948571,83.74241665,79.3563573,82.45878207,76.19671391,80.07862364,70.62125087,71.01937319,60.54537349,80.1718019,81.94269442,71.4751883,72.97131599,74.90674361,66,75,65,71,79,87,85,81,81,68,73,68,82,82,72,76,75.69
Miftah Utami,56254,10B,74.17227546,79.85485379,83.56624876,69.22772616,79.98877869,76.55822717,78.50855799,80.23655604,77.00057384,77.42365177,76.87221019,82.79316704,80.03538583,79.04450372,71.58682743,76.04868732,77.68238945,72,82,80,64,83,75,81,83,78,80,81,85,82,80,70,77,78.31
Utari Mulyani,98291,10B,80.89830514,76.5934422,79.70261669,85.23751834,81.59798968,76.87075103,73.85001349,63.63721136,75.56303473,74.77489686,78.35679031,75.6354332,74.80303404,67.50796469,71.70512019,78.78821454,75.97014603,78,72,78,86,82,77,68,64,75,72,75,78,68,64,72,77,74.12
Tini Irawan,11606,10B,80.46604056,71.39887548,73.52555777,76.64889319,67.83203272,73.72057262,68.18405187,76.21062459,72.64351764,73.37876147,67.97350941,75.4216642,82.31006701,66.84694392,70.18770736,73.04453977,73.11208497,77,74,73,74,68,69,67,73,72,68,63,73,82,64,72,75,71.5
Mega Agustina,17900,10B,77.89141981,71.16165732,59.7942373,80.75533622,77.76191935,65.2446511,70.92154479,81.8003009,81.19837084,78.65258886,73.07882658,74.37432584,73.30475972,79.60058766,69.58017672,69.93039047,74.06569334,74,63,61,79,68,57,58,66,70,68,73,61,67,74,59,68,66.62
Gina Putra,29384,10B,77.58636826,72.31318805,79.4273321,69.17743429,72.26110353,67.9229304,72.57180873,65.14226064,70.09682822,65.353726,76.00461149,76.11794203,63.88368167,79.20442405,85.02207096,72.76502726,72.80317111,75,68,74,68,73,68,73,65,67,64,68,79,64,79,87,75,71.69
Citra Prasetyo,25235,10B,68.84760491,86.17482917,65.45833372,72.15370855,72.95128758,78.77891432,73.85187109,69.56000674,67.29725436,70.34406711,67.01853941,72.29230281,69.23219532,64.58298725,78.32890516,69.5648136,71.65235132,75,89,66,74,77,81,73,71,71,76,67,69,64,67,74,71,72.81
Xandra Santosa,99388,10B,72.90732646,78.40671481,79.58986831,70.51567686,80.90624882,74.01222264,87.80315453,81.86781305,77.24851053,75.52217163,78.72317195,82.31196419,79.12053984,78.16221645,79.53986194,76.22871583,78.30413612,78,83,86,73,73,77,89,78,80,78,84,89,92,84,85,89,82.38
Sinta Hadiwijaya,40624,10B,75.0690478,66.35611524,81.65370858,78.27906633,72.91779821,86.27875234,77.22015983,71.60435957,81.06876454,78.77531851,78.75797736,74.65629941,79.03755605,75.47628598,79.56478469,67.26035516,76.49852185,72,68,85,71,70,85,75,74,78,76,79,74,82,77,90,64,76.25
Vanya Puspitasari,46034,10B,69.36608471,80.14622751,67.70011475,68.51626054,69.29564533,65.46142134,60.49404814,70.38252003,72.21474914,71.27292668,70.81105921,71.75065638,76.64965938,70.58322109,68.66503914,70.1298246,70.21496612,77,92,67,73,71,65,63,71,78,76,75,78,76,72,75,71,73.75
Cakra Pradipta,76040,10B,82.39473318,86.55813377,76.35728068,79.99266831,81.18978659,74.53510934,79.60008521,72.16963009,70.65274786,81.33173142,77.57862567,80.50940142,79.40852449,74.61599913,79.27172787,73.33249285,78.09366737,80,92,76,83,74,77,82,73,64,79,75,84,76,76,78,77,77.88
Irsyad Darmawan,58869,10B,83.49135939,69.75664588,75.55757125,71.32513966,79.38860347,74.87934075,73.94316401,80.80250533,76.68365056,79.11971983,71.62986792,69.51241288,77.07253741,74.94226583,79.66867097,76.13695534,75.86940066,82,72,76,74,85,76,78,78,74,74,68,74,78,74,80,78,76.31
Malik Gunardi,54244,10B,80.08968729,70.94739794,88.50649529,78.24310067,82.55224545,74.88385224,80.60436011,72.55008678,81.32464979,77.28444017,79.21026311,82.55418074,72.90160904,75.64185194,81.350932,89.55541797,79.26253566,87,76,98,77,88,75,89,78,86,81,87,80,86,80,81,84,83.31
Nadia Kartini,18639,10B,77.45773254,81.1038248,77.61328686,87.85937218,69.41203587,78.62124943,70.02042404,65.61528636,79.63545448,78.84563319,76.72395952,77.61717376,93.63964138,76.85726852,80.69876602,74.90132011,77.91390182,73,78,75,91,65,85,69,70,77,81,72,73,97,76,80,72,77.12
Joko Hartono,31798,10B,72.33118782,69.66385657,68.80243253,79.94951761,76.74094976,71.53875818,59.33396527,69.04997883,84.37016277,69.70171661,76.37111281,78.06473696,71.94984452,66.64591679,58.67846329,74.27584099,71.71677758,74,78,74,82,80,79,62,80,89,73,84,82,78,71,57,75,76.12
Bella Hapsari,12781,10B,68.12531478,73.07984706,65.9499931,70.8729071,72.36769007,73.5420627,66.62498386,78.18364954,69.21462088,63.8267475,71.6539777,72.37097134,73.00204196,79.00975682,71.01685062,71.60099668,71.27765073,60,75,67,72,73,70,66,77,69,66,70,69,77,77,74,78,71.25
Vito Saraswati,28845,10B,73.22054612,82.83923554,79.65801335,76.63632939,69.21309456,85.958529,72.5980682,75.78007798,80.52819058,72.75367838,71.26891913,68.11673011,82.34145279,76.0105368,93.37281849,73.7646927,77.12880707,75,83,82,74,75,86,74,78,81,77,70,71,86,79,98,72,78.81
Galang Widiastuti,52446,10B,73.44459621,75.22488648,79.2675246,75.70083463,81.1135124,73.15890938,71.14389273,69.06077763,66.93398049,75.46150623,76.54694977,74.89466619,84.26888031,84.19200238,76.37783639,69.08224576,75.3670626,73,76,79,75,83,70,72,68,61,72,74,80,86,85,75,68,74.81
Budi Hartono,20606,10B,72.06196649,71.89638506,71.60981722,71.40689751,71.62817755,72.96278395,71.71778654,75.93710457,76.69733561,70.34226659,81.25081866,69.99518052,66.80648896,76.79938239,70.80845136,76.50194938,73.02642452,80,75,79,73,80,79,82,89,83,81,92,75,73,83,74,80,79.88
Yogi Budiman,40562,10B,63.56829391,82.54891662,78.94810396,68.08425417,68.1927513,83.94796644,71.8997374,71.41571267,64.25637645,73.83274589,74.44803884,79.1641024,68.59124478,67.98520296,77.84145009,80.62028727,73.45907407,67,78,87,76,68,91,79,81,69,73,78,82,73,73,82,87,77.75
Lina Hariyadi,89388,10B,73.53256272,86.79589491,81.57603369,86.84735117,81.03722267,68.77693489,80.62848757,86.68904357,76.91959438,79.44849963,80.50765696,66.89075508,89.74506236,76.88144608,83.91700164,80.9548188,80.07177288,73,86,81,85,81,73,78,86,77,78,81,59,91,74,81,80,79
Olivia Indahsari,69270,10B,78.33023834,74.07242367,70.8675217,67.57456759,76.03139656,62.67493654,75.27159516,66.5469193,78.30356137,72.84864077,75.2627619,72.45208712,63.28025758,67.73849724,75.40408974,72.87542214,71.84593229,87,76,70,69,81,70,87,67,81,84,74,78,61,71,88,80,76.5
Qori Kurniawan,27782,10B,83.64043643,79.75185972,72.90197745,73.75516622,78.25007386,66.16526658,86.10269633,79.94422059,83.87065989,69.8324672,83.95831271,88.89298146,71.13109513,81.59249588,77.74103663,70.01331766,77.97150398,85,81,76,73,79,68,85,84,84,71,81,84,67,83,75,72,78
Gita Yuliana,68039,10B,76.4534566,78.15705276,70.98340397,79.81861934,65.6552197,66.51525601,74.67202372,74.11596313,70.4061693,78.03700892,76.64350831,78.27973209,73.37335456,77.00193808,71.76078522,84.25813019,74.75822637,80,80,70,81,67,64,72,77,75,78,79,82,72,77,74,91,76.19
Naufal Sugiarto,26680,10B,69.84886513,84.43808113,74.08603372,67.03403954,80.75199074,74.54110093,78.16721448,80.03087358,75.60137175,70.95038976,78.79016087,73.91537152,77.34088308,63.14294111,76.14650257,70.71866486,74.7190303,69,83,72,63,81,74,84,87,72,65,75,74,81,62,78,68,74.25
Danang Ramadhan,45109,10B,88.76043245,83.609321,81.69317299,82.92543423,75.50168,88.61016771,90.45073635,82.45845181,88.4459021,77.64814327,76.50831643,80.698508,82.66858945,78.52395085,83.18272521,82.02583167,82.73196022,85,83,85,79,79,89,91,81,85,77,75,85,84,79,87,82,82.88
Zaenal Susanto,35466,10B,74.13554787,81.72104683,83.44472296,79.98442833,84.89032226,73.04006278,81.46683386,73.27567821,73.55667495,75.97242758,74.41678083,76.38710265,78.05633019,83.31285418,77.52128655,71.19895321,77.64881583,77,86,95,90,90,77,86,87,79,93,74,82,88,93,85,74,84.75
Lukman Susilo,92355,10B,84.76788741,74.88209751,78.77394604,81.30023071,80.06560027,84.53844592,81.4625639,74.76100028,89.96035905,80.0392155,78.33084705,83.8871753,80.31480291,81.06368914,91.52846817,77.69194104,81.46051689,87,75,77,84,76,80,81,75,91,79,82,79,81,83,96,82,81.75
Naufal Santosa,91445,10B,79.93858957,82.1102866,86.88497371,73.99472388,71.69961458,78.59181768,73.35777924,79.4032373,84.03989252,77.07364972,74.39326115,81.87407984,85.84011146,73.05252684,85.62855603,85.61392505,79.59356407,76,83,91,75,70,82,74,79,89,76,73,79,89,74,84,81,79.69
Lina Nugroho,62939,10B,79.87544472,81.19742028,86.11508883,73.32455897,75.65287711,73.02282704,75.11490343,82.76938599,68.37994679,70.79977085,81.99092389,80.20520174,73.28936097,79.37702921,76.81109842,82.60639225,77.53326441,83,75,88,77,72,69,76,88,65,66,81,78,68,78,78,88,76.88
Zaenal Yulianti,94344,10B,78.78231283,83.53792543,91.61982441,81.40026063,78.65640569,82.02199978,76.58336057,90.34960338,79.31012004,77.04509826,74.23131983,83.89586581,82.74570192,75.922993,81.29202158,70.86698502,80.51636239,76,84,91,84,83,85,79,96,85,73,83,90,80,85,90,68,83.25
Endang Irawan,37907,10B,74.37351909,75.71244798,81.98531526,69.5945722,67.05690307,68.97152641,66.76582372,80.13195301,81.19186269,75.04974911,79.55514095,74.11845812,72.97310798,71.78347812,71.89671126,65.70965844,73.55438921,81,79,81,74,71,77,76,86,88,84,84,81,72,75,84,75,79.25
Gina Sugiarto,48955,10B,77.94210558,76.41916221,80.34763538,77.08844924,75.80731325,72.26486661,76.98159795,80.31201792,70.90413681,77.05820053,77.78604652,73.03050784,73.68155024,77.77388601,70.95372667,78.37045034,76.04510332,84,80,87,80,87,74,83,88,76,83,82,74,86,81,71,80,81
Ulfa Puspitasari,61522,10B,69.87251286,79.66355319,86.03842346,70.04550072,77.02032404,70.7155752,79.5540556,68.02299268,76.75221852,69.98433989,73.31436178,69.19415835,78.46103708,70.16438296,77.10910602,72.62879459,74.28383356,67,77,81,68,81,74,80,74,80,71,75,69,75,69,69,69,73.69
Ranti Hardianto,49652,10B,74.91261797,76.22375936,71.67585647,76.53681539,83.13665265,71.5945059,81.34403054,82.97546799,71.40420488,68.2097068,76.99478433,72.74794221,84.82799592,75.65901753,71.47398278,69.74918227,75.59165769,77,81,69,77,84,68,83,86,69,67,72,76,87,73,69,69,75.44
Cakra Lesmana,78254,10B,83.42530992,75.11986526,78.19492912,82.75479885,75.55449337,77.74614098,77.89294308,81.39240768,80.9295068,76.87521647,78.29403043,76.11689007,70.58772309,79.26378941,87.43674393,73.55718942,78.44637362,79,73,83,85,79,74,82,77,77,79,74,81,67,76,91,72,78.06
Satria Hakim,95354,10B,67.04374804,66.55525773,74.53185548,73.15132385,70.11620812,66.31880128,71.37078054,63.08578595,71.62602942,75.26651851,64.6529009,63.2463052,78.80608604,67.85009839,76.58863581,70.13890826,70.02182772,65,66,73,79,71,68,75,61,67,75,60,62,72,64,80,71,69.31
Hana Permata,54990,10B,84.65216229,87.65399988,81.04194209,86.1244221,83.5544893,78.85946916,87.14934675,84.14539734,84.67681224,79.41113166,93.41893822,89.84550731,90.2827158,83.93471287,76.81602193,95.22652329,85.42459951,85,87,77,82,84,77,87,74,82,72,90,89,93,78,72,92,82.56
